purchase_order_id,product_id,supplier_id,quantity,lead_time_days,purchase_order_date
52,151,22,12,17,2023-01-03 03:00:00
53,85,1,343,8,2023-01-03 04:00:00
54,190,42,99,23,2023-01-03 05:00:00
55,14,2,39,22,2023-01-03 06:00:00
56,11,12,139,20,2023-01-03 07:00:00
57,95,48,357,6,2023-01-03 08:00:00
58,24,11,107,39,2023-01-03 09:00:00
59,151,45,217,10,2023-01-03 10:00:00
60,108,26,31,1,2023-01-03 11:00:00
61,122,42,485,31,2023-01-03 12:00:00
62,36,2,163,25,2023-01-03 13:00:00
63,171,11,280,16,2023-01-03 14:00:00
64,12,30,273,38,2023-01-03 15:00:00
65,173,44,98,31,2023-01-03 16:00:00
66,16,15,412,15,2023-01-03 17:00:00
67,194,47,51,32,2023-01-03 18:00:00
68,199,5,262,27,2023-01-03 19:00:00
69,121,16,441,30,2023-01-03 20:00:00
70,105,42,327,17,2023-01-03 21:00:00
71,120,29,459,20,2023-01-03 22:00:00
72,4,46,494,36,2023-01-03 23:00:00
73,29,15,439,33,2023-01-04 00:00:00
74,129,14,120,27,2023-01-04 01:00:00
75,157,23,156,16,2023-01-04 02:00:00
76,34,7,190,21,2023-01-04 03:00:00
77,195,31,349,29,2023-01-04 04:00:00
78,34,2,182,16,2023-01-04 05:00:00
79,199,19,162,7,2023-01-04 06:00:00
80,192,43,286,33,2023-01-04 07:00:00
81,20,3,417,14,2023-01-04 08:00:00
82,192,2,403,15,2023-01-04 09:00:00
83,200,19,403,23,2023-01-04 10:00:00
84,148,40,402,17,2023-01-04 11:00:00
85,198,10,290,15,2023-01-04 12:00:00
86,100,32,231,17,2023-01-04 13:00:00
87,179,27,274,33,2023-01-04 14:00:00
88,52,23,61,17,2023-01-04 15:00:00
89,195,24,271,3,2023-01-04 16:00:00
90,113,28,129,5,2023-01-04 17:00:00
91,93,23,377,21,2023-01-04 18:00:00
92,30,41,70,13,2023-01-04 19:00:00
93,141,49,75,20,2023-01-04 20:00:00
94,59,50,422,15,2023-01-04 21:00:00
95,123,45,333,31,2023-01-04 22:00:00
96,161,13,488,12,2023-01-04 23:00:00
97,181,3,8,34,2023-01-05 00:00:00
98,74,47,57,1,2023-01-05 01:00:00
99,54,26,451,2,2023-01-05 02:00:00
100,106,1,437,21,2023-01-05 03:00:00
101,106,47,276,26,2023-01-05 04:00:00
102,189,26,221,38,2023-01-05 05:00:00
103,116,19,121,28,2023-01-05 06:00:00
104,152,49,455,25,2023-01-05 07:00:00
105,170,9,39,18,2023-01-05 08:00:00
106,23,45,51,27,2023-01-05 09:00:00
107,177,47,392,20,2023-01-05 10:00:00
108,176,14,110,33,2023-01-05 11:00:00
109,5,9,314,17,2023-01-05 12:00:00
110,156,42,188,25,2023-01-05 13:00:00
111,116,26,347,16,2023-01-05 14:00:00
112,158,49,17,2,2023-01-05 15:00:00
113,123,34,16,9,2023-01-05 16:00:00
114,83,37,447,19,2023-01-05 17:00:00
115,1,18,187,18,2023-01-05 18:00:00
116,77,10,61,34,2023-01-05 19:00:00
117,79,12,175,9,2023-01-05 20:00:00
118,7,3,469,25,2023-01-05 21:00:00
119,184,35,445,6,2023-01-05 22:00:00
120,180,30,117,28,2023-01-05 23:00:00
121,50,13,281,32,2023-01-06 00:00:00
122,184,42,62,13,2023-01-06 01:00:00
123,118,5,22,36,2023-01-06 02:00:00
124,90,44,237,33,2023-01-06 03:00:00
125,177,6,174,27,2023-01-06 04:00:00
126,56,45,419,21,2023-01-06 05:00:00
127,83,22,112,6,2023-01-06 06:00:00
128,55,19,52,13,2023-01-06 07:00:00
129,193,10,2,17,2023-01-06 08:00:00
130,47,13,216,17,2023-01-06 09:00:00
131,50,42,178,29,2023-01-06 10:00:00
132,34,26,398,8,2023-01-06 11:00:00
133,155,24,215,18,2023-01-06 12:00:00
134,40,38,111,8,2023-01-06 13:00:00
135,86,48,389,38,2023-01-06 14:00:00
136,45,8,21,28,2023-01-06 15:00:00
137,60,13,488,38,2023-01-06 16:00:00
138,39,16,104,3,2023-01-06 17:00:00
139,109,10,103,27,2023-01-06 18:00:00
140,191,16,186,6,2023-01-06 19:00:00
141,32,40,212,18,2023-01-06 20:00:00
142,77,44,42,11,2023-01-06 21:00:00
143,30,18,64,22,2023-01-06 22:00:00
144,77,17,316,13,2023-01-06 23:00:00
145,93,5,368,15,2023-01-07 00:00:00
146,2,43,48,18,2023-01-07 01:00:00
147,137,24,183,13,2023-01-07 02:00:00
148,51,29,115,34,2023-01-07 03:00:00
149,86,48,257,19,2023-01-07 04:00:00
150,46,23,39,21,2023-01-07 05:00:00
151,126,49,419,32,2023-01-07 06:00:00
152,114,37,165,5,2023-01-07 07:00:00
153,84,15,296,7,2023-01-07 08:00:00
154,25,10,59,9,2023-01-07 09:00:00
155,180,49,217,28,2023-01-07 10:00:00
156,21,36,239,33,2023-01-07 11:00:00
157,57,20,126,14,2023-01-07 12:00:00
158,194,27,292,38,2023-01-07 13:00:00
159,45,33,321,23,2023-01-07 14:00:00
160,117,44,462,22,2023-01-07 15:00:00
161,77,48,155,37,2023-01-07 16:00:00
162,14,27,82,6,2023-01-07 17:00:00
163,136,34,171,21,2023-01-07 18:00:00
164,196,1,12,34,2023-01-07 19:00:00
165,153,45,368,22,2023-01-07 20:00:00
166,173,48,264,14,2023-01-07 21:00:00
167,143,17,241,31,2023-01-07 22:00:00
168,47,23,478,20,2023-01-07 23:00:00
169,165,24,315,22,2023-01-08 00:00:00
170,80,16,183,9,2023-01-08 01:00:00
171,92,18,258,6,2023-01-08 02:00:00
172,116,19,69,2,2023-01-08 03:00:00
173,188,32,378,37,2023-01-08 04:00:00
174,188,50,325,20,2023-01-08 05:00:00
175,89,17,124,34,2023-01-08 06:00:00
176,185,49,361,7,2023-01-08 07:00:00
177,41,24,344,15,2023-01-08 08:00:00
178,118,42,327,15,2023-01-08 09:00:00
179,83,26,480,29,2023-01-08 10:00:00
180,178,47,139,34,2023-01-08 11:00:00
181,151,30,49,19,2023-01-08 12:00:00
182,83,9,311,12,2023-01-08 13:00:00
183,3,1,346,27,2023-01-08 14:00:00
184,123,14,51,29,2023-01-08 15:00:00
185,130,8,85,2,2023-01-08 16:00:00
186,157,30,29,26,2023-01-08 17:00:00
187,157,14,244,35,2023-01-08 18:00:00
188,95,1,383,17,2023-01-08 19:00:00
189,47,44,479,10,2023-01-08 20:00:00
190,178,46,132,32,2023-01-08 21:00:00
191,35,38,399,25,2023-01-08 22:00:00
192,131,22,15,8,2023-01-08 23:00:00
193,177,31,68,9,2023-01-09 00:00:00
194,47,40,320,15,2023-01-09 01:00:00
195,132,50,394,28,2023-01-09 02:00:00
196,58,9,286,26,2023-01-09 03:00:00
197,131,28,68,3,2023-01-09 04:00:00
198,142,37,286,37,2023-01-09 05:00:00
199,34,50,334,32,2023-01-09 06:00:00
200,164,9,158,11,2023-01-09 07:00:00
201,63,45,276,32,2023-01-09 08:00:00
202,8,32,104,28,2023-01-09 09:00:00
203,74,5,332,14,2023-01-09 10:00:00
204,123,15,265,27,2023-01-09 11:00:00
205,46,9,123,2,2023-01-09 12:00:00
206,142,50,445,3,2023-01-09 13:00:00
207,166,28,372,27,2023-01-09 14:00:00
208,149,4,122,28,2023-01-09 15:00:00
209,68,19,253,32,2023-01-09 16:00:00
210,34,33,352,2,2023-01-09 17:00:00
211,19,21,376,3,2023-01-09 18:00:00
212,179,34,74,2,2023-01-09 19:00:00
213,151,15,436,20,2023-01-09 20:00:00
214,16,50,161,17,2023-01-09 21:00:00
215,197,41,421,24,2023-01-09 22:00:00
216,181,28,493,35,2023-01-09 23:00:00
217,60,33,341,3,2023-01-10 00:00:00
218,129,46,361,30,2023-01-10 01:00:00
219,62,50,298,1,2023-01-10 02:00:00
220,39,24,198,33,2023-01-10 03:00:00
221,68,34,328,38,2023-01-10 04:00:00
222,134,3,149,2,2023-01-10 05:00:00
223,69,38,409,7,2023-01-10 06:00:00
224,169,48,415,6,2023-01-10 07:00:00
225,52,48,84,15,2023-01-10 08:00:00
226,145,39,188,27,2023-01-10 09:00:00
227,98,45,287,8,2023-01-10 10:00:00
228,31,28,124,12,2023-01-10 11:00:00
229,169,46,105,9,2023-01-10 12:00:00
230,68,10,137,30,2023-01-10 13:00:00
231,99,49,54,39,2023-01-10 14:00:00
232,181,19,223,22,2023-01-10 15:00:00
233,137,16,436,29,2023-01-10 16:00:00
234,193,41,299,2,2023-01-10 17:00:00
235,160,39,110,23,2023-01-10 18:00:00
236,110,35,97,13,2023-01-10 19:00:00
237,188,14,117,31,2023-01-10 20:00:00
238,45,47,305,22,2023-01-10 21:00:00
239,78,12,166,22,2023-01-10 22:00:00
240,170,10,152,36,2023-01-10 23:00:00
241,15,38,384,2,2023-01-11 00:00:00
242,105,4,67,18,2023-01-11 01:00:00
243,109,3,104,2,2023-01-11 02:00:00
244,179,6,49,8,2023-01-11 03:00:00
245,176,37,23,34,2023-01-11 04:00:00
246,8,12,143,2,2023-01-11 05:00:00
247,157,21,81,16,2023-01-11 06:00:00
248,194,17,14,20,2023-01-11 07:00:00
249,121,34,5,4,2023-01-11 08:00:00
250,66,39,493,16,2023-01-11 09:00:00
251,174,13,425,37,2023-01-11 10:00:00
252,13,14,463,2,2023-01-11 11:00:00
253,180,21,374,22,2023-01-11 12:00:00
254,140,16,313,26,2023-01-11 13:00:00
255,64,50,73,26,2023-01-11 14:00:00
256,53,7,278,38,2023-01-11 15:00:00
257,99,16,98,16,2023-01-11 16:00:00
258,198,38,483,27,2023-01-11 17:00:00
259,104,10,439,11,2023-01-11 18:00:00
260,4,7,464,9,2023-01-11 19:00:00
261,105,46,50,3,2023-01-11 20:00:00
262,118,21,370,33,2023-01-11 21:00:00
263,46,41,376,17,2023-01-11 22:00:00
264,97,25,15,37,2023-01-11 23:00:00
265,67,16,155,5,2023-01-12 00:00:00
266,145,28,493,17,2023-01-12 01:00:00
267,32,37,389,38,2023-01-12 02:00:00
268,68,14,336,7,2023-01-12 03:00:00
269,90,50,313,39,2023-01-12 04:00:00
270,85,29,436,7,2023-01-12 05:00:00
271,183,38,22,5,2023-01-12 06:00:00
272,197,15,44,25,2023-01-12 07:00:00
273,146,16,481,20,2023-01-12 08:00:00
274,191,33,24,1,2023-01-12 09:00:00
275,169,11,88,31,2023-01-12 10:00:00
276,74,32,63,32,2023-01-12 11:00:00
277,115,38,228,13,2023-01-12 12:00:00
278,58,18,320,6,2023-01-12 13:00:00
279,92,24,92,9,2023-01-12 14:00:00
280,146,16,231,34,2023-01-12 15:00:00
281,200,7,363,31,2023-01-12 16:00:00
282,175,10,495,16,2023-01-12 17:00:00
283,20,45,180,21,2023-01-12 18:00:00
284,51,45,47,17,2023-01-12 19:00:00
285,188,7,315,21,2023-01-12 20:00:00
286,173,29,100,33,2023-01-12 21:00:00
287,147,24,194,1,2023-01-12 22:00:00
288,19,39,44,27,2023-01-12 23:00:00
289,193,21,123,2,2023-01-13 00:00:00
290,136,28,117,33,2023-01-13 01:00:00
291,178,48,69,12,2023-01-13 02:00:00
292,73,1,342,14,2023-01-13 03:00:00
293,40,27,156,18,2023-01-13 04:00:00
294,58,23,44,39,2023-01-13 05:00:00
295,89,39,330,6,2023-01-13 06:00:00
296,35,19,285,30,2023-01-13 07:00:00
297,1,47,142,8,2023-01-13 08:00:00
298,75,47,216,32,2023-01-13 09:00:00
299,140,6,456,18,2023-01-13 10:00:00
300,56,15,255,33,2023-01-13 11:00:00
301,104,4,389,11,2023-01-13 12:00:00
302,19,50,196,13,2023-01-13 13:00:00
303,149,23,127,18,2023-01-13 14:00:00
304,36,40,438,15,2023-01-13 15:00:00
305,67,22,436,36,2023-01-13 16:00:00
306,109,32,480,36,2023-01-13 17:00:00
307,127,19,68,33,2023-01-13 18:00:00
308,143,45,42,22,2023-01-13 19:00:00
309,54,38,462,38,2023-01-13 20:00:00
310,42,10,470,12,2023-01-13 21:00:00
311,35,20,454,23,2023-01-13 22:00:00
312,81,6,106,19,2023-01-13 23:00:00
313,193,24,353,8,2023-01-14 00:00:00
314,71,38,338,1,2023-01-14 01:00:00
315,168,35,495,11,2023-01-14 02:00:00
316,151,6,343,34,2023-01-14 03:00:00
317,51,14,446,26,2023-01-14 04:00:00
318,132,14,83,5,2023-01-14 05:00:00
319,189,7,271,5,2023-01-14 06:00:00
320,146,48,161,27,2023-01-14 07:00:00
321,63,34,263,5,2023-01-14 08:00:00
322,170,22,331,1,2023-01-14 09:00:00
323,33,35,170,12,2023-01-14 10:00:00
324,3,43,303,11,2023-01-14 11:00:00
325,47,24,182,18,2023-01-14 12:00:00
326,124,50,389,35,2023-01-14 13:00:00
327,26,23,174,14,2023-01-14 14:00:00
328,164,36,137,3,2023-01-14 15:00:00
329,20,16,474,5,2023-01-14 16:00:00
330,97,11,256,15,2023-01-14 17:00:00
331,27,50,332,14,2023-01-14 18:00:00
332,185,40,191,13,2023-01-14 19:00:00
333,62,46,180,38,2023-01-14 20:00:00
334,110,16,319,18,2023-01-14 21:00:00
335,195,16,442,3,2023-01-14 22:00:00
336,110,32,8,26,2023-01-14 23:00:00
337,88,2,403,21,2023-01-15 00:00:00
338,169,12,241,4,2023-01-15 01:00:00
339,49,28,100,2,2023-01-15 02:00:00
340,85,23,173,1,2023-01-15 03:00:00
341,167,18,93,16,2023-01-15 04:00:00
342,87,12,47,17,2023-01-15 05:00:00
343,101,16,23,32,2023-01-15 06:00:00
344,148,38,28,36,2023-01-15 07:00:00
345,88,8,486,12,2023-01-15 08:00:00
346,140,50,50,7,2023-01-15 09:00:00
347,121,14,121,4,2023-01-15 10:00:00
348,2,35,121,23,2023-01-15 11:00:00
349,144,47,493,39,2023-01-15 12:00:00
350,141,47,382,6,2023-01-15 13:00:00
351,107,9,438,27,2023-01-15 14:00:00
352,94,43,484,13,2023-01-15 15:00:00
353,104,44,164,20,2023-01-15 16:00:00
354,81,40,425,3,2023-01-15 17:00:00
355,157,27,479,35,2023-01-15 18:00:00
356,146,13,43,18,2023-01-15 19:00:00
357,51,1,245,2,2023-01-15 20:00:00
358,20,9,403,3,2023-01-15 21:00:00
359,39,35,347,1,2023-01-15 22:00:00
360,194,49,58,27,2023-01-15 23:00:00
361,164,34,310,24,2023-01-16 00:00:00
362,32,37,293,10,2023-01-16 01:00:00
363,110,4,462,23,2023-01-16 02:00:00
364,89,6,36,9,2023-01-16 03:00:00
365,3,29,194,6,2023-01-16 04:00:00
366,19,5,352,28,2023-01-16 05:00:00
367,144,29,439,37,2023-01-16 06:00:00
368,83,26,79,2,2023-01-16 07:00:00
369,76,39,126,22,2023-01-16 08:00:00
370,11,10,414,8,2023-01-16 09:00:00
371,185,21,289,10,2023-01-16 10:00:00
372,135,13,492,32,2023-01-16 11:00:00
373,141,42,267,12,2023-01-16 12:00:00
374,114,49,93,21,2023-01-16 13:00:00
375,86,6,132,2,2023-01-16 14:00:00
376,183,27,75,30,2023-01-16 15:00:00
377,127,25,159,13,2023-01-16 16:00:00
378,145,45,420,2,2023-01-16 17:00:00
379,76,1,461,19,2023-01-16 18:00:00
380,52,39,487,23,2023-01-16 19:00:00
381,122,17,408,36,2023-01-16 20:00:00
382,125,42,168,30,2023-01-16 21:00:00
383,192,32,392,24,2023-01-16 22:00:00
384,199,17,23,10,2023-01-16 23:00:00
385,95,47,267,4,2023-01-17 00:00:00
386,96,45,131,34,2023-01-17 01:00:00
387,163,7,51,3,2023-01-17 02:00:00
388,38,10,290,34,2023-01-17 03:00:00
389,185,43,159,10,2023-01-17 04:00:00
390,168,20,129,19,2023-01-17 05:00:00
391,18,15,338,38,2023-01-17 06:00:00
392,32,44,268,10,2023-01-17 07:00:00
393,37,45,74,13,2023-01-17 08:00:00
394,47,4,180,5,2023-01-17 09:00:00
395,109,5,301,11,2023-01-17 10:00:00
396,98,28,32,24,2023-01-17 11:00:00
397,191,20,222,7,2023-01-17 12:00:00
398,185,15,128,1,2023-01-17 13:00:00
399,171,14,61,10,2023-01-17 14:00:00
400,20,6,13,9,2023-01-17 15:00:00
401,32,4,319,10,2023-01-17 16:00:00
402,118,21,424,9,2023-01-17 17:00:00
403,143,7,331,3,2023-01-17 18:00:00
404,54,7,449,4,2023-01-17 19:00:00
405,92,49,116,30,2023-01-17 20:00:00
406,38,16,146,7,2023-01-17 21:00:00
407,5,21,446,11,2023-01-17 22:00:00
408,151,38,86,33,2023-01-17 23:00:00
409,79,50,50,5,2023-01-18 00:00:00
410,9,17,422,29,2023-01-18 01:00:00
411,75,15,490,25,2023-01-18 02:00:00
412,48,39,272,6,2023-01-18 03:00:00
413,191,32,221,24,2023-01-18 04:00:00
414,90,2,336,39,2023-01-18 05:00:00
415,74,28,359,31,2023-01-18 06:00:00
416,146,28,300,20,2023-01-18 07:00:00
417,12,38,228,7,2023-01-18 08:00:00
418,82,16,151,34,2023-01-18 09:00:00
419,199,16,483,37,2023-01-18 10:00:00
420,39,50,383,32,2023-01-18 11:00:00
421,13,32,161,25,2023-01-18 12:00:00
422,162,45,28,10,2023-01-18 13:00:00
423,56,45,211,2,2023-01-18 14:00:00
424,142,35,99,1,2023-01-18 15:00:00
425,65,19,384,26,2023-01-18 16:00:00
426,82,43,405,26,2023-01-18 17:00:00
427,57,31,481,23,2023-01-18 18:00:00
428,134,40,289,21,2023-01-18 19:00:00
429,40,38,159,5,2023-01-18 20:00:00
430,167,30,282,36,2023-01-18 21:00:00
431,142,50,225,22,2023-01-18 22:00:00
432,72,18,285,15,2023-01-18 23:00:00
433,87,48,409,27,2023-01-19 00:00:00
434,95,19,118,16,2023-01-19 01:00:00
435,164,18,485,9,2023-01-19 02:00:00
436,141,46,393,4,2023-01-19 03:00:00
437,125,40,109,16,2023-01-19 04:00:00
438,144,4,325,1,2023-01-19 05:00:00
439,135,26,3,13,2023-01-19 06:00:00
440,189,7,99,29,2023-01-19 07:00:00
441,89,22,1,23,2023-01-19 08:00:00
442,135,13,444,29,2023-01-19 09:00:00
443,74,1,91,31,2023-01-19 10:00:00
444,76,40,403,24,2023-01-19 11:00:00
445,178,21,463,20,2023-01-19 12:00:00
446,168,37,24,11,2023-01-19 13:00:00
447,81,33,172,7,2023-01-19 14:00:00
448,79,27,382,28,2023-01-19 15:00:00
449,34,4,10,39,2023-01-19 16:00:00
450,93,14,361,32,2023-01-19 17:00:00
451,57,46,352,37,2023-01-19 18:00:00
452,175,30,172,26,2023-01-19 19:00:00
453,187,43,134,27,2023-01-19 20:00:00
454,64,13,445,35,2023-01-19 21:00:00
455,86,9,230,36,2023-01-19 22:00:00
456,59,28,205,18,2023-01-19 23:00:00
457,127,33,157,8,2023-01-20 00:00:00
458,154,19,443,22,2023-01-20 01:00:00
459,173,21,309,4,2023-01-20 02:00:00
460,166,31,81,23,2023-01-20 03:00:00
461,162,19,407,27,2023-01-20 04:00:00
462,75,29,19,36,2023-01-20 05:00:00
463,134,42,307,30,2023-01-20 06:00:00
464,14,19,20,6,2023-01-20 07:00:00
465,166,29,275,34,2023-01-20 08:00:00
466,172,5,182,19,2023-01-20 09:00:00
467,156,20,198,32,2023-01-20 10:00:00
468,170,24,138,14,2023-01-20 11:00:00
469,97,10,300,38,2023-01-20 12:00:00
470,198,35,425,9,2023-01-20 13:00:00
471,102,48,89,16,2023-01-20 14:00:00
472,93,43,183,10,2023-01-20 15:00:00
473,92,38,152,30,2023-01-20 16:00:00
474,26,45,389,14,2023-01-20 17:00:00
475,25,18,140,19,2023-01-20 18:00:00
476,197,10,51,32,2023-01-20 19:00:00
477,20,13,43,20,2023-01-20 20:00:00
478,22,40,8,11,2023-01-20 21:00:00
479,86,22,284,2,2023-01-20 22:00:00
480,23,15,7,23,2023-01-20 23:00:00
481,50,45,189,29,2023-01-21 00:00:00
482,155,45,52,9,2023-01-21 01:00:00
483,169,11,468,27,2023-01-21 02:00:00
484,132,15,366,35,2023-01-21 03:00:00
485,172,11,75,27,2023-01-21 04:00:00
486,133,46,149,2,2023-01-21 05:00:00
487,15,8,153,24,2023-01-21 06:00:00
488,160,11,396,26,2023-01-21 07:00:00
489,103,30,57,7,2023-01-21 08:00:00
490,166,6,363,20,2023-01-21 09:00:00
491,117,16,163,5,2023-01-21 10:00:00
492,162,40,428,9,2023-01-21 11:00:00
493,144,25,186,27,2023-01-21 12:00:00
494,48,26,204,18,2023-01-21 13:00:00
495,2,12,368,12,2023-01-21 14:00:00
496,15,48,277,10,2023-01-21 15:00:00
497,67,23,306,27,2023-01-21 16:00:00
498,146,47,277,25,2023-01-21 17:00:00
499,82,2,64,19,2023-01-21 18:00:00
500,116,10,166,31,2023-01-21 19:00:00
501,72,13,197,10,2023-01-21 20:00:00
502,140,7,23,36,2023-01-21 21:00:00
503,143,18,218,3,2023-01-21 22:00:00
504,112,1,247,30,2023-01-21 23:00:00
505,193,6,187,2,2023-01-22 00:00:00
506,111,17,451,1,2023-01-22 01:00:00
507,171,2,312,10,2023-01-22 02:00:00
508,181,31,292,32,2023-01-22 03:00:00
509,40,33,176,17,2023-01-22 04:00:00
510,192,11,51,19,2023-01-22 05:00:00
511,103,21,458,39,2023-01-22 06:00:00
512,74,14,424,2,2023-01-22 07:00:00
513,80,28,261,20,2023-01-22 08:00:00
514,193,40,378,37,2023-01-22 09:00:00
515,81,8,159,38,2023-01-22 10:00:00
516,147,4,372,13,2023-01-22 11:00:00
517,200,34,213,9,2023-01-22 12:00:00
518,9,19,177,35,2023-01-22 13:00:00
519,139,16,426,33,2023-01-22 14:00:00
520,148,4,422,6,2023-01-22 15:00:00
521,182,35,365,34,2023-01-22 16:00:00
522,51,32,497,33,2023-01-22 17:00:00
523,149,6,44,31,2023-01-22 18:00:00
524,18,10,328,2,2023-01-22 19:00:00
525,96,36,128,35,2023-01-22 20:00:00
526,89,35,32,37,2023-01-22 21:00:00
527,63,28,329,35,2023-01-22 22:00:00
528,36,40,463,20,2023-01-22 23:00:00
529,70,10,347,18,2023-01-23 00:00:00
530,194,31,413,21,2023-01-23 01:00:00
531,93,39,194,35,2023-01-23 02:00:00
532,164,33,260,3,2023-01-23 03:00:00
533,43,8,325,21,2023-01-23 04:00:00
534,36,38,390,14,2023-01-23 05:00:00
535,134,23,48,4,2023-01-23 06:00:00
536,179,35,45,4,2023-01-23 07:00:00
537,98,31,202,16,2023-01-23 08:00:00
538,77,43,6,21,2023-01-23 09:00:00
539,54,47,469,21,2023-01-23 10:00:00
540,91,17,364,29,2023-01-23 11:00:00
541,121,8,335,13,2023-01-23 12:00:00
542,96,43,317,7,2023-01-23 13:00:00
543,46,10,452,4,2023-01-23 14:00:00
544,107,50,313,4,2023-01-23 15:00:00
545,159,22,138,17,2023-01-23 16:00:00
546,82,30,444,29,2023-01-23 17:00:00
547,22,29,294,1,2023-01-23 18:00:00
548,141,27,395,19,2023-01-23 19:00:00
549,113,12,487,37,2023-01-23 20:00:00
550,199,18,416,36,2023-01-23 21:00:00
551,173,12,26,7,2023-01-23 22:00:00
552,147,36,376,20,2023-01-23 23:00:00
553,8,49,295,39,2023-01-24 00:00:00
554,7,48,341,27,2023-01-24 01:00:00
555,15,26,277,25,2023-01-24 02:00:00
556,87,16,159,5,2023-01-24 03:00:00
557,64,38,145,30,2023-01-24 04:00:00
558,180,30,456,17,2023-01-24 05:00:00
559,109,30,469,24,2023-01-24 06:00:00
560,101,36,202,39,2023-01-24 07:00:00
561,112,43,379,12,2023-01-24 08:00:00
562,153,19,468,8,2023-01-24 09:00:00
563,57,29,56,30,2023-01-24 10:00:00
564,95,20,297,28,2023-01-24 11:00:00
565,2,8,90,10,2023-01-24 12:00:00
566,30,39,484,17,2023-01-24 13:00:00
567,107,20,368,36,2023-01-24 14:00:00
568,183,7,435,35,2023-01-24 15:00:00
569,33,39,181,27,2023-01-24 16:00:00
570,55,41,131,37,2023-01-24 17:00:00
571,163,37,398,23,2023-01-24 18:00:00
572,108,4,381,30,2023-01-24 19:00:00
573,145,8,395,30,2023-01-24 20:00:00
574,167,40,187,27,2023-01-24 21:00:00
575,77,20,36,28,2023-01-24 22:00:00
576,168,28,277,12,2023-01-24 23:00:00
577,162,46,133,28,2023-01-25 00:00:00
578,87,43,251,31,2023-01-25 01:00:00
579,81,41,85,4,2023-01-25 02:00:00
580,186,45,200,32,2023-01-25 03:00:00
581,58,14,149,17,2023-01-25 04:00:00
582,95,48,157,15,2023-01-25 05:00:00
583,167,30,310,12,2023-01-25 06:00:00
584,178,48,234,15,2023-01-25 07:00:00
585,186,34,207,24,2023-01-25 08:00:00
586,121,7,23,11,2023-01-25 09:00:00
587,56,2,484,5,2023-01-25 10:00:00
588,58,6,13,23,2023-01-25 11:00:00
589,80,50,26,34,2023-01-25 12:00:00
590,154,1,38,3,2023-01-25 13:00:00
591,147,43,130,26,2023-01-25 14:00:00
592,36,48,63,36,2023-01-25 15:00:00
593,128,18,176,5,2023-01-25 16:00:00
594,136,33,488,26,2023-01-25 17:00:00
595,169,32,14,10,2023-01-25 18:00:00
596,138,20,17,26,2023-01-25 19:00:00
597,28,33,62,26,2023-01-25 20:00:00
598,99,17,394,24,2023-01-25 21:00:00
599,174,33,239,3,2023-01-25 22:00:00
600,107,35,169,38,2023-01-25 23:00:00
601,87,10,487,17,2023-01-26 00:00:00
602,85,7,231,23,2023-01-26 01:00:00
603,44,32,7,37,2023-01-26 02:00:00
604,35,43,498,35,2023-01-26 03:00:00
605,54,20,341,11,2023-01-26 04:00:00
