inbound_id,purchase_order_id,product_id,quantity_received,received_date
101,101,170,329,2023-02-12 04:00:00
102,102,134,390,2023-01-10 05:00:00
103,103,159,47,2023-01-10 06:00:00
104,104,136,339,2023-02-03 07:00:00
105,105,11,332,2023-01-21 08:00:00
106,106,115,221,2023-01-28 09:00:00
107,107,16,418,2023-02-04 10:00:00
108,108,167,5,2023-02-01 11:00:00
109,109,127,339,2023-01-29 12:00:00
110,110,23,405,2023-01-27 13:00:00
111,111,173,267,2023-01-17 14:00:00
112,112,8,329,2023-02-04 15:00:00
113,113,128,227,2023-02-02 16:00:00
114,114,112,185,2023-01-31 17:00:00
115,115,140,294,2023-01-18 18:00:00
116,116,36,237,2023-02-11 19:00:00
117,117,105,152,2023-01-12 20:00:00
118,118,104,105,2023-01-27 21:00:00
119,119,161,393,2023-02-09 22:00:00
120,120,168,241,2023-01-16 23:00:00
121,121,1,288,2023-02-01 00:00:00
122,122,141,435,2023-02-08 01:00:00
123,123,132,386,2023-02-08 02:00:00
124,124,96,185,2023-02-13 03:00:00
125,125,98,280,2023-01-14 04:00:00
126,126,152,385,2023-01-16 05:00:00
127,127,17,48,2023-02-07 06:00:00
128,128,85,169,2023-01-07 07:00:00
129,129,103,36,2023-01-17 08:00:00
130,130,199,326,2023-01-16 09:00:00
131,131,87,366,2023-02-10 10:00:00
132,132,6,267,2023-02-07 11:00:00
133,133,158,346,2023-02-14 12:00:00
134,134,161,171,2023-01-08 13:00:00
135,135,200,252,2023-01-25 14:00:00
136,136,128,206,2023-01-24 15:00:00
137,137,159,395,2023-01-17 16:00:00
138,138,27,282,2023-01-15 17:00:00
139,139,6,214,2023-02-09 18:00:00
140,140,142,1,2023-02-14 19:00:00
141,141,48,380,2023-01-29 20:00:00
142,142,174,257,2023-01-22 21:00:00
143,143,5,230,2023-01-30 22:00:00
144,144,20,289,2023-02-13 23:00:00
145,145,51,251,2023-02-14 00:00:00
146,146,195,215,2023-01-21 01:00:00
147,147,143,228,2023-02-06 02:00:00
148,148,172,255,2023-01-30 03:00:00
149,149,15,255,2023-01-24 04:00:00
150,150,185,288,2023-02-02 05:00:00
151,151,31,4,2023-01-30 06:00:00
152,152,177,397,2023-01-14 07:00:00
153,153,33,68,2023-01-08 08:00:00
154,154,73,76,2023-01-19 09:00:00
155,155,37,19,2023-01-10 10:00:00
156,156,15,463,2023-01-17 11:00:00
157,157,192,459,2023-01-23 12:00:00
158,158,75,307,2023-02-14 13:00:00
159,159,189,56,2023-02-14 14:00:00
160,160,36,351,2023-02-08 15:00:00
161,161,12,136,2023-02-14 16:00:00
162,162,117,171,2023-02-02 17:00:00
163,163,103,262,2023-02-05 18:00:00
164,164,50,496,2023-01-17 19:00:00
165,165,103,414,2023-01-19 20:00:00
166,166,115,310,2023-01-19 21:00:00
167,167,104,192,2023-02-14 22:00:00
168,168,114,71,2023-02-09 23:00:00
169,169,77,374,2023-02-05 00:00:00
170,170,65,182,2023-01-24 01:00:00
171,171,149,374,2023-01-24 02:00:00
172,172,143,22,2023-02-16 03:00:00
173,173,15,299,2023-01-31 04:00:00
174,174,189,222,2023-01-10 05:00:00
175,175,41,373,2023-01-20 06:00:00
176,176,130,326,2023-02-15 07:00:00
177,177,5,168,2023-02-02 08:00:00
178,178,52,183,2023-02-11 09:00:00
179,179,2,40,2023-02-04 10:00:00
180,180,165,149,2023-02-04 11:00:00
181,181,21,348,2023-01-21 12:00:00
182,182,119,275,2023-01-25 13:00:00
183,183,12,43,2023-02-07 14:00:00
184,184,6,250,2023-01-27 15:00:00
185,185,128,80,2023-01-18 16:00:00
186,186,128,469,2023-01-24 17:00:00
187,187,183,399,2023-01-24 18:00:00
188,188,151,206,2023-02-05 19:00:00
189,189,89,338,2023-01-14 20:00:00
190,190,193,285,2023-02-01 21:00:00
191,191,68,185,2023-01-27 22:00:00
192,192,101,157,2023-02-06 23:00:00
193,193,126,284,2023-01-31 00:00:00
194,194,27,300,2023-01-28 01:00:00
195,195,183,362,2023-01-15 02:00:00
196,196,154,146,2023-02-06 03:00:00
197,197,182,32,2023-02-14 04:00:00
198,198,134,322,2023-02-09 05:00:00
199,199,53,317,2023-01-21 06:00:00
200,200,104,293,2023-02-09 07:00:00
201,201,112,39,2023-02-08 08:00:00
202,202,199,158,2023-02-09 09:00:00
203,203,182,233,2023-01-26 10:00:00
204,204,72,295,2023-01-23 11:00:00
205,205,93,265,2023-02-13 12:00:00
206,206,118,337,2023-02-03 13:00:00
207,207,99,368,2023-01-27 14:00:00
208,208,38,360,2023-01-18 15:00:00
209,209,164,302,2023-01-11 16:00:00
210,210,118,356,2023-01-10 17:00:00
211,211,41,147,2023-02-10 18:00:00
212,212,10,58,2023-02-06 19:00:00
213,213,62,177,2023-02-04 20:00:00
214,214,92,314,2023-01-30 21:00:00
215,215,81,134,2023-01-28 22:00:00
216,216,193,155,2023-02-17 23:00:00
217,217,188,454,2023-02-16 00:00:00
218,218,6,304,2023-02-10 01:00:00
219,219,77,145,2023-01-24 02:00:00
220,220,35,263,2023-02-11 03:00:00
221,221,179,163,2023-02-15 04:00:00
222,222,35,39,2023-01-22 05:00:00
223,223,132,50,2023-01-21 06:00:00
224,224,185,218,2023-02-07 07:00:00
225,225,69,289,2023-01-17 08:00:00
226,226,47,136,2023-02-13 09:00:00
227,227,14,394,2023-02-15 10:00:00
228,228,27,414,2023-02-06 11:00:00
229,229,145,100,2023-01-16 12:00:00
230,230,107,45,2023-01-29 13:00:00
231,231,187,298,2023-01-16 14:00:00
232,232,14,147,2023-01-18 15:00:00
233,233,92,186,2023-02-06 16:00:00
234,234,97,409,2023-01-12 17:00:00
235,235,164,398,2023-01-22 18:00:00
236,236,5,428,2023-01-30 19:00:00
237,237,37,366,2023-01-16 20:00:00
238,238,111,128,2023-02-07 21:00:00
239,239,149,381,2023-01-16 22:00:00
240,240,191,111,2023-02-15 23:00:00
241,241,59,307,2023-01-20 00:00:00
242,242,80,41,2023-01-14 01:00:00
243,243,192,406,2023-01-14 02:00:00
244,244,4,260,2023-01-23 03:00:00
245,245,149,151,2023-01-18 04:00:00
246,246,102,13,2023-02-19 05:00:00
247,247,7,128,2023-01-28 06:00:00
248,248,50,86,2023-02-14 07:00:00
249,249,118,479,2023-02-07 08:00:00
250,250,56,27,2023-01-14 09:00:00
251,251,112,205,2023-01-31 10:00:00
252,252,170,163,2023-02-15 11:00:00
253,253,94,362,2023-02-17 12:00:00
254,254,33,148,2023-02-09 13:00:00
255,255,55,237,2023-02-09 14:00:00
256,256,165,384,2023-02-19 15:00:00
257,257,183,264,2023-02-16 16:00:00
258,258,143,183,2023-02-11 17:00:00
259,259,96,65,2023-02-01 18:00:00
260,260,191,258,2023-01-17 19:00:00
261,261,115,273,2023-02-10 20:00:00
262,262,83,343,2023-02-13 21:00:00
263,263,147,369,2023-02-05 22:00:00
264,264,147,63,2023-01-21 23:00:00
265,265,71,34,2023-02-09 00:00:00
266,266,71,105,2023-02-20 01:00:00
267,267,70,239,2023-01-13 02:00:00
268,268,72,381,2023-01-30 03:00:00
269,269,133,50,2023-02-11 04:00:00
270,270,147,42,2023-02-10 05:00:00
271,271,112,391,2023-02-20 06:00:00
272,272,84,43,2023-01-25 07:00:00
273,273,58,349,2023-01-18 08:00:00
274,274,14,267,2023-02-12 09:00:00
275,275,114,267,2023-02-18 10:00:00
276,276,161,10,2023-01-22 11:00:00
277,277,122,396,2023-01-29 12:00:00
278,278,15,304,2023-02-07 13:00:00
279,279,118,308,2023-01-16 14:00:00
280,280,66,177,2023-01-21 15:00:00
281,281,92,419,2023-01-25 16:00:00
282,282,178,297,2023-01-17 17:00:00
283,283,94,384,2023-01-21 18:00:00
284,284,200,94,2023-01-29 19:00:00
285,285,164,293,2023-02-19 20:00:00
286,286,65,211,2023-02-17 21:00:00
287,287,53,309,2023-02-03 22:00:00
288,288,89,48,2023-01-27 23:00:00
289,289,149,217,2023-02-04 00:00:00
290,290,161,41,2023-01-20 01:00:00
291,291,197,387,2023-01-27 02:00:00
292,292,96,347,2023-01-26 03:00:00
293,293,153,472,2023-01-14 04:00:00
294,294,30,244,2023-02-09 05:00:00
295,295,45,180,2023-01-28 06:00:00
296,296,133,272,2023-01-29 07:00:00
297,297,159,362,2023-02-09 08:00:00
298,298,167,349,2023-01-20 09:00:00
299,299,48,428,2023-01-16 10:00:00
300,300,84,362,2023-02-01 11:00:00
301,301,183,437,2023-01-19 12:00:00
302,302,146,201,2023-01-29 13:00:00
303,303,192,241,2023-01-30 14:00:00
304,304,97,16,2023-01-20 15:00:00
305,305,142,255,2023-01-29 16:00:00
306,306,61,366,2023-01-18 17:00:00
307,307,132,400,2023-02-20 18:00:00
308,308,146,268,2023-02-19 19:00:00
309,309,104,228,2023-02-03 20:00:00
310,310,9,51,2023-01-28 21:00:00
311,311,89,34,2023-02-04 22:00:00
312,312,57,12,2023-02-18 23:00:00
313,313,15,169,2023-01-24 00:00:00
314,314,34,105,2023-02-11 01:00:00
315,315,41,62,2023-02-04 02:00:00
316,316,31,367,2023-02-02 03:00:00
317,317,15,397,2023-01-26 04:00:00
318,318,32,302,2023-01-15 05:00:00
319,319,60,266,2023-02-14 06:00:00
320,320,79,114,2023-02-03 07:00:00
321,321,73,226,2023-01-26 08:00:00
322,322,99,61,2023-01-17 09:00:00
323,323,180,149,2023-02-19 10:00:00
324,324,142,406,2023-01-29 11:00:00
325,325,57,130,2023-01-15 12:00:00
326,326,138,166,2023-02-08 13:00:00
327,327,40,71,2023-01-30 14:00:00
328,328,177,392,2023-02-22 15:00:00
329,329,66,431,2023-02-05 16:00:00
330,330,143,452,2023-02-12 17:00:00
331,331,71,308,2023-02-09 18:00:00
332,332,136,300,2023-02-16 19:00:00
333,333,1,201,2023-02-18 20:00:00
334,334,149,73,2023-01-27 21:00:00
335,335,149,309,2023-02-17 22:00:00
336,336,10,366,2023-02-06 23:00:00
337,337,130,263,2023-02-23 00:00:00
338,338,123,14,2023-02-22 01:00:00
339,339,87,436,2023-02-11 02:00:00
340,340,45,61,2023-02-13 03:00:00
341,341,167,468,2023-01-16 04:00:00
342,342,139,414,2023-02-11 05:00:00
343,343,164,335,2023-01-19 06:00:00
344,344,111,278,2023-01-29 07:00:00
345,345,144,462,2023-01-26 08:00:00
346,346,142,272,2023-01-23 09:00:00
347,347,1,206,2023-02-06 10:00:00
348,348,149,118,2023-01-28 11:00:00
349,349,35,309,2023-02-02 12:00:00
350,350,46,193,2023-02-13 13:00:00
351,351,56,278,2023-01-22 14:00:00
352,352,15,242,2023-01-29 15:00:00
353,353,178,215,2023-02-13 16:00:00
354,354,180,149,2023-02-03 17:00:00
355,355,39,373,2023-01-30 18:00:00
356,356,101,379,2023-02-05 19:00:00
357,357,138,351,2023-02-23 20:00:00
358,358,134,160,2023-01-25 21:00:00
359,359,161,417,2023-02-05 22:00:00
360,360,28,337,2023-02-10 23:00:00
361,361,79,68,2023-02-14 00:00:00
362,362,187,340,2023-02-21 01:00:00
363,363,51,180,2023-02-19 02:00:00
364,364,128,46,2023-02-21 03:00:00
365,365,87,430,2023-02-10 04:00:00
366,366,90,409,2023-02-13 05:00:00
367,367,196,81,2023-01-27 06:00:00
368,368,57,306,2023-02-08 07:00:00
369,369,8,51,2023-01-24 08:00:00
370,370,121,38,2023-01-22 09:00:00
371,371,140,39,2023-02-16 10:00:00
372,372,135,37,2023-02-18 11:00:00
373,373,61,165,2023-02-12 12:00:00
374,374,122,411,2023-01-18 13:00:00
375,375,134,213,2023-01-30 14:00:00
376,376,64,463,2023-02-10 15:00:00
377,377,176,308,2023-01-18 16:00:00
378,378,27,93,2023-01-28 17:00:00
379,379,165,35,2023-01-22 18:00:00
380,380,149,356,2023-02-09 19:00:00
381,381,110,203,2023-02-21 20:00:00
382,382,18,149,2023-02-03 21:00:00
383,383,134,37,2023-01-21 22:00:00
384,384,158,105,2023-02-11 23:00:00
385,385,18,7,2023-02-20 00:00:00
386,386,5,117,2023-02-19 01:00:00
387,387,149,400,2023-02-02 02:00:00
388,388,164,271,2023-01-19 03:00:00
389,389,188,85,2023-02-03 04:00:00
390,390,37,164,2023-02-09 05:00:00
391,391,5,33,2023-02-12 06:00:00
392,392,100,417,2023-01-31 07:00:00
393,393,23,343,2023-02-13 08:00:00
394,394,97,103,2023-02-06 09:00:00
395,395,138,454,2023-02-13 10:00:00
396,396,135,119,2023-02-10 11:00:00
397,397,137,77,2023-01-26 12:00:00
398,398,190,99,2023-02-15 13:00:00
399,399,142,178,2023-02-01 14:00:00
400,400,12,91,2023-02-19 15:00:00
401,401,136,62,2023-02-21 16:00:00
402,402,13,105,2023-01-30 17:00:00
403,403,58,132,2023-02-22 18:00:00
404,404,126,104,2023-02-02 19:00:00
405,405,52,185,2023-02-04 20:00:00
406,406,93,269,2023-02-17 21:00:00
407,407,108,362,2023-02-16 22:00:00
408,408,158,382,2023-02-12 23:00:00
409,409,157,69,2023-01-22 00:00:00
410,410,58,168,2023-02-13 01:00:00
411,411,121,458,2023-02-13 02:00:00
412,412,128,100,2023-01-22 03:00:00
413,413,11,166,2023-01-30 04:00:00
414,414,129,357,2023-02-03 05:00:00
415,415,167,159,2023-02-03 06:00:00
416,416,120,162,2023-02-21 07:00:00
417,417,86,76,2023-01-25 08:00:00
418,418,116,138,2023-02-22 09:00:00
419,419,104,139,2023-02-20 10:00:00
420,420,96,251,2023-02-07 11:00:00
421,421,90,356,2023-02-23 12:00:00
422,422,1,9,2023-02-12 13:00:00
423,423,192,422,2023-01-22 14:00:00
424,424,130,369,2023-02-10 15:00:00
425,425,192,430,2023-01-26 16:00:00
426,426,77,391,2023-02-17 17:00:00
427,427,151,370,2023-02-15 18:00:00
428,428,92,377,2023-01-21 19:00:00
429,429,22,324,2023-01-26 20:00:00
430,430,167,256,2023-02-08 21:00:00
431,431,100,285,2023-02-22 22:00:00
432,432,48,82,2023-01-25 23:00:00
433,433,116,427,2023-02-18 00:00:00
434,434,9,436,2023-01-22 01:00:00
435,435,119,31,2023-02-01 02:00:00
436,436,9,176,2023-02-02 03:00:00
437,437,5,268,2023-02-14 04:00:00
438,438,102,328,2023-02-10 05:00:00
439,439,43,407,2023-02-14 06:00:00
440,440,161,359,2023-02-23 07:00:00
441,441,142,43,2023-01-30 08:00:00
442,442,47,456,2023-02-01 09:00:00
443,443,9,380,2023-02-20 10:00:00
444,444,168,67,2023-01-21 11:00:00
445,445,7,232,2023-02-18 12:00:00
446,446,133,294,2023-01-20 13:00:00
447,447,81,11,2023-02-24 14:00:00
448,448,191,341,2023-02-18 15:00:00
449,449,194,241,2023-02-24 16:00:00
450,450,63,30,2023-02-04 17:00:00
451,451,26,262,2023-01-23 18:00:00
452,452,176,359,2023-02-11 19:00:00
453,453,33,272,2023-01-24 20:00:00
454,454,10,278,2023-02-14 21:00:00
455,455,130,283,2023-02-04 22:00:00
456,456,3,402,2023-01-21 23:00:00
457,457,146,116,2023-02-02 00:00:00
458,458,141,90,2023-02-08 01:00:00
459,459,37,316,2023-02-12 02:00:00
460,460,107,29,2023-01-28 03:00:00
461,461,164,339,2023-02-19 04:00:00
462,462,65,483,2023-02-14 05:00:00
463,463,23,270,2023-01-23 06:00:00
464,464,195,8,2023-02-12 07:00:00
465,465,118,28,2023-02-08 08:00:00
466,466,51,101,2023-02-20 09:00:00
467,467,193,168,2023-02-23 10:00:00
468,468,126,73,2023-02-15 11:00:00
469,469,198,311,2023-02-02 12:00:00
470,470,12,28,2023-01-24 13:00:00
471,471,117,26,2023-01-31 14:00:00
472,472,90,227,2023-01-21 15:00:00
473,473,177,359,2023-01-26 16:00:00
474,474,157,28,2023-01-29 17:00:00
475,475,56,153,2023-02-19 18:00:00
476,476,131,219,2023-01-30 19:00:00
477,477,165,365,2023-02-18 20:00:00
478,478,28,425,2023-02-26 21:00:00
479,479,187,369,2023-02-01 22:00:00
480,480,115,301,2023-02-14 23:00:00
481,481,181,204,2023-02-09 00:00:00
482,482,135,63,2023-02-28 01:00:00
483,483,185,443,2023-02-07 02:00:00
484,484,167,155,2023-03-01 03:00:00
485,485,79,77,2023-02-05 04:00:00
486,486,38,8,2023-01-26 05:00:00
487,487,32,15,2023-02-01 06:00:00
488,488,180,14,2023-02-10 07:00:00
489,489,6,233,2023-02-10 08:00:00
490,490,21,37,2023-01-22 09:00:00
491,491,25,325,2023-02-15 10:00:00
492,492,33,154,2023-01-24 11:00:00
493,493,190,382,2023-02-06 12:00:00
494,494,80,188,2023-02-26 13:00:00
495,495,108,38,2023-02-21 14:00:00
496,496,13,143,2023-03-01 15:00:00
497,497,192,46,2023-01-30 16:00:00
498,498,58,310,2023-01-29 17:00:00
499,499,160,129,2023-02-24 18:00:00
500,500,185,140,2023-02-01 19:00:00
501,501,174,366,2023-02-20 20:00:00
502,502,33,258,2023-01-29 21:00:00
503,503,42,227,2023-02-27 22:00:00
504,504,178,37,2023-02-19 23:00:00
505,505,143,192,2023-02-05 00:00:00
506,506,129,236,2023-02-27 01:00:00
507,507,67,231,2023-01-23 02:00:00
508,508,45,172,2023-01-24 03:00:00
509,509,69,10,2023-02-02 04:00:00
510,510,13,70,2023-03-01 05:00:00
511,511,24,358,2023-02-16 06:00:00
512,512,144,397,2023-02-22 07:00:00
513,513,47,22,2023-02-07 08:00:00
514,514,56,75,2023-02-19 09:00:00
515,515,46,166,2023-01-25 10:00:00
516,516,199,294,2023-02-15 11:00:00
517,517,87,355,2023-02-02 12:00:00
518,518,157,413,2023-02-10 13:00:00
519,519,74,289,2023-02-14 14:00:00
520,520,7,199,2023-02-03 15:00:00
521,521,195,98,2023-02-20 16:00:00
522,522,40,322,2023-02-09 17:00:00
523,523,51,31,2023-01-29 18:00:00
524,524,42,335,2023-02-04 19:00:00
525,525,172,47,2023-02-12 20:00:00
526,526,65,186,2023-02-02 21:00:00
527,527,60,271,2023-03-02 22:00:00
528,528,156,349,2023-01-23 23:00:00
529,529,10,293,2023-01-26 00:00:00
530,530,99,413,2023-02-12 01:00:00
531,531,27,29,2023-02-27 02:00:00
532,532,68,59,2023-01-24 03:00:00
533,533,19,99,2023-01-30 04:00:00
534,534,35,433,2023-01-29 05:00:00
535,535,93,434,2023-02-25 06:00:00
536,536,84,172,2023-01-25 07:00:00
537,537,12,299,2023-02-14 08:00:00
538,538,197,157,2023-02-08 09:00:00
539,539,153,329,2023-01-29 10:00:00
540,540,73,461,2023-01-30 11:00:00
541,541,116,211,2023-02-23 12:00:00
542,542,38,227,2023-02-07 13:00:00
543,543,128,421,2023-02-05 14:00:00
544,544,27,66,2023-02-19 15:00:00
545,545,89,155,2023-02-03 16:00:00
546,546,164,105,2023-02-12 17:00:00
547,547,198,59,2023-02-16 18:00:00
548,548,3,148,2023-02-20 19:00:00
549,549,69,357,2023-03-01 20:00:00
550,550,87,350,2023-02-11 21:00:00
551,551,94,91,2023-02-20 22:00:00
552,552,101,274,2023-02-16 23:00:00
553,553,150,0,2023-02-27 00:00:00
554,554,67,131,2023-02-12 01:00:00
555,555,177,5,2023-02-07 02:00:00
556,556,102,236,2023-02-03 03:00:00
557,557,8,2,2023-02-27 04:00:00
558,558,149,45,2023-02-21 05:00:00
559,559,75,69,2023-02-09 06:00:00
560,560,168,242,2023-02-22 07:00:00
561,561,186,37,2023-02-16 08:00:00
562,562,195,336,2023-02-07 09:00:00
563,563,83,212,2023-02-10 10:00:00
564,564,166,30,2023-02-06 11:00:00
565,565,56,279,2023-02-03 12:00:00
566,566,81,264,2023-01-27 13:00:00
567,567,95,265,2023-02-26 14:00:00
568,568,28,313,2023-02-11 15:00:00
569,569,162,271,2023-02-21 16:00:00
570,570,168,310,2023-02-02 17:00:00
571,571,16,199,2023-02-11 18:00:00
572,572,128,421,2023-02-16 19:00:00
573,573,147,4,2023-02-09 20:00:00
574,574,132,451,2023-02-17 21:00:00
575,575,144,332,2023-02-23 22:00:00
576,576,34,481,2023-03-03 23:00:00
577,577,23,17,2023-02-05 00:00:00
578,578,127,370,2023-02-21 01:00:00
579,579,129,59,2023-01-30 02:00:00
580,580,74,186,2023-02-24 03:00:00
581,581,129,73,2023-02-08 04:00:00
582,582,4,105,2023-02-22 05:00:00
583,583,30,95,2023-03-05 06:00:00
584,584,96,191,2023-02-04 07:00:00
585,585,35,215,2023-01-31 08:00:00
586,586,83,76,2023-02-05 09:00:00
587,587,142,138,2023-02-08 10:00:00
588,588,63,435,2023-02-23 11:00:00
589,589,46,182,2023-02-18 12:00:00
590,590,87,141,2023-03-03 13:00:00
591,591,99,22,2023-02-10 14:00:00
592,592,128,40,2023-01-30 15:00:00
593,593,165,191,2023-02-20 16:00:00
594,594,118,261,2023-02-11 17:00:00
595,595,51,231,2023-02-16 18:00:00
596,596,177,331,2023-03-02 19:00:00
597,597,199,320,2023-02-20 20:00:00
598,598,194,17,2023-03-03 21:00:00
599,599,125,165,2023-02-04 22:00:00
600,600,84,250,2023-02-05 23:00:00
601,601,112,300,2023-02-18 00:00:00
602,602,20,208,2023-02-19 01:00:00
603,603,115,291,2023-02-06 02:00:00
604,604,71,276,2023-02-09 03:00:00
605,605,50,2,2023-02-27 04:00:00
606,606,173,222,2023-02-04 05:00:00
607,607,182,27,2023-02-25 06:00:00
608,608,167,236,2023-01-31 07:00:00
609,609,79,83,2023-01-27 08:00:00
610,610,65,407,2023-02-16 09:00:00
611,611,2,344,2023-01-29 10:00:00
612,612,188,425,2023-02-17 11:00:00
613,613,1,266,2023-03-05 12:00:00
614,614,185,404,2023-02-19 13:00:00
615,615,137,21,2023-02-22 14:00:00
616,616,5,89,2023-02-17 15:00:00
617,617,67,295,2023-03-02 16:00:00
618,618,86,370,2023-02-15 17:00:00
619,619,194,303,2023-02-17 18:00:00
620,620,94,175,2023-02-01 19:00:00
621,621,113,463,2023-02-16 20:00:00
622,622,8,121,2023-02-03 21:00:00
623,623,69,262,2023-02-23 22:00:00
624,624,24,3,2023-02-15 23:00:00
625,625,152,293,2023-03-02 00:00:00
626,626,4,398,2023-02-04 01:00:00
627,627,126,60,2023-02-17 02:00:00
628,628,161,334,2023-02-03 03:00:00
629,629,117,315,2023-02-07 04:00:00
630,630,60,303,2023-02-19 05:00:00
631,631,182,376,2023-02-27 06:00:00
632,632,41,361,2023-02-12 07:00:00
633,633,200,387,2023-03-03 08:00:00
634,634,44,437,2023-02-09 09:00:00
635,635,134,10,2023-01-31 10:00:00
636,636,122,363,2023-03-05 11:00:00
637,637,87,371,2023-02-24 12:00:00
638,638,9,175,2023-02-20 13:00:00
639,639,18,180,2023-03-03 14:00:00
640,640,39,424,2023-02-17 15:00:00
641,641,29,255,2023-03-02 16:00:00
642,642,181,146,2023-02-04 17:00:00
643,643,28,29,2023-01-28 18:00:00
644,644,120,116,2023-02-25 19:00:00
645,645,34,44,2023-02-11 20:00:00
646,646,137,44,2023-03-07 21:00:00
647,647,52,368,2023-02-27 22:00:00
648,648,170,293,2023-02-23 23:00:00
649,649,59,81,2023-02-06 00:00:00
650,650,149,132,2023-03-05 01:00:00
651,651,135,73,2023-02-12 02:00:00
652,652,68,100,2023-03-04 03:00:00
653,653,136,31,2023-02-28 04:00:00
654,654,92,57,2023-02-15 05:00:00
655,655,181,374,2023-02-22 06:00:00
656,656,82,200,2023-02-04 07:00:00
657,657,116,395,2023-02-11 08:00:00
658,658,168,21,2023-03-02 09:00:00
659,659,52,11,2023-03-05 10:00:00
660,660,51,336,2023-03-04 11:00:00
661,661,57,344,2023-02-01 12:00:00
662,662,189,193,2023-02-04 13:00:00
663,663,131,378,2023-01-31 14:00:00
664,664,5,83,2023-02-02 15:00:00
